dialogue_id,services,turn_num,speaker,utterance,active_intents,slot_values
PMUL3969.json,hotel,0,USER,i am new here. i need a place to stay with free wifi,hotel:find_hotel,hotel.hotel-internet=yes
PMUL3969.json,hotel,1,SYSTEM,Okay! What price range are you looking for?,,
PMUL3969.json,hotel,2,USER,cheaper the better free wifi too,hotel:find_hotel,hotel.hotel-internet=yes|hotel.hotel-pricerange=cheap
PMUL3969.json,hotel,3,SYSTEM,I have 10 locations with free wifi in the cheap price range. Do you have a particular area in mind?,,
PMUL3969.json,hotel,4,USER,"No particular area, whatever you suggest.",hotel:find_hotel,hotel.hotel-area=dontcare|hotel.hotel-internet=yes|hotel.hotel-pricerange=cheap
PMUL3969.json,hotel,5,SYSTEM,Okay well I suggest the Alexander Bed and Breakfast in their center. Would you like me to make a booking for you?,,
PMUL3969.json,hotel,6,USER,"Yes please book 2 nights for 5 people, starting on Saturday.",hotel:book_hotel,hotel.hotel-area=dontcare|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=5|hotel.hotel-bookstay=2|hotel.hotel-internet=yes|hotel.hotel-name=alexander bed and breakfast|hotel.hotel-pricerange=cheap
PMUL3969.json,hotel,7,SYSTEM,I have booked the Alexander Bed and Breakfast for 2 nights starting on Saturday for 5 people. The reference number is UCIOWNWV . Anything else I can help you with?,,
PMUL3969.json,hotel,8,USER,"That's it. Thank you, goodbye!",,hotel.hotel-area=dontcare|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=5|hotel.hotel-bookstay=2|hotel.hotel-internet=yes|hotel.hotel-name=alexander bed and breakfast|hotel.hotel-pricerange=cheap
PMUL3969.json,hotel,9,SYSTEM,Have a great day!,,
PMUL3071.json,attraction|hotel,0,USER,i'm looking for adc theatre,attraction:find_attraction,attraction.attraction-name=adc theatre
PMUL3071.json,attraction|hotel,1,SYSTEM,"You will want to go to the centre part of Cambridge, it is on park street, postal code cb58as. Can I help with anything else?",,
PMUL3071.json,attraction|hotel,2,USER,"I'm looking for information on the adc theatre. Can you get some information for me, including the attraction type?",attraction:find_attraction,attraction.attraction-name=adc theatre
PMUL3071.json,attraction|hotel,3,SYSTEM,ADC Theatre is a theatre in the center part of town. Their phone number is 01223300085. Can I help you with anything else?,,
